"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"Brighton","Watford","Home","Pre",78,1,17,36,-25,35,60,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Wolves","Leicester","Home","Pre",90,0,7,57,1,47,46,9,52,3,51,48,"Not Top 6","Not Top 6"
"Southampton","Burnley","Home","Pre",18,1,16,39,-20,45,65,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Arsenal","Newcastle","Home","Pre",54,1,5,70,22,73,51,13,45,-6,42,48,"Top 6","Not Top 6"
"Chelsea","Man United","Home","Pre",90,0,3,72,24,63,39,6,66,11,65,54,"Top 6","Top 6"
"Man City","West Ham","Home","Pre",30,1,1,98,72,95,23,10,52,-3,52,55,"Top 6","Not Top 6"
"Chelsea","Tottenham","Home","Pre",15,1,3,72,24,63,39,4,71,28,67,39,"Top 6","Top 6"
"Burnley","Bournemouth","Home","Pre",53,1,15,40,-23,45,68,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Crystal Palace","Newcastle","Home","Pre",44,1,12,49,-2,51,53,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Leicester","Man City","Home","Pre",90,0,9,52,3,51,48,1,98,72,95,23,"Not Top 6","Top 6"
"Man United","Watford","Home","Pre",42,1,6,66,11,65,54,11,50,-7,52,59,"Top 6","Not Top 6"
"Arsenal","Everton","Home","Pre",27,1,5,70,22,73,51,8,54,8,54,46,"Top 6","Not Top 6"
"Liverpool","West Ham","Home","Pre",9,1,2,97,67,89,22,10,52,-3,52,55,"Top 6","Not Top 6"
"Brighton","Crystal Palace","Home","Pre",90,0,17,36,-25,35,60,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Bournemouth","Chelsea","Home","Pre",54,1,14,45,-14,56,70,3,72,24,63,39,"Not Top 6","Top 6"
"Newcastle","Burnley","Home","Pre",90,0,13,45,-6,42,48,15,40,-23,45,68,"Not Top 6","Not Top 6"
"West Ham","Southampton","Home","Pre",15,1,10,52,-3,52,55,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Watford","Liverpool","Home","Pre",54,1,11,50,-7,52,59,2,97,67,89,22,"Not Top 6","Top 6"
"Everton","Man United","Home","Pre",3,1,8,54,8,54,46,6,66,11,65,54,"Not Top 6","Top 6"
"Tottenham","Wolves","Home","Pre",13,1,4,71,28,67,39,7,57,1,47,46,"Top 6","Not Top 6"
"Liverpool","Bournemouth","Home","Pre",24,1,2,97,67,89,22,14,45,-14,56,70,"Top 6","Not Top 6"
"Arsenal","West Ham","Home","Pre",78,1,5,70,22,73,51,10,52,-3,52,55,"Top 6","Not Top 6"
"Crystal Palace","Watford","Home","Pre",28,1,12,49,-2,51,53,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Southampton","Newcastle","Home","Pre",90,0,16,39,-20,45,65,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Wolves","Brighton","Home","Pre",90,0,7,57,1,47,46,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Burnley","Tottenham","Home","Pre",13,1,15,40,-23,45,68,4,71,28,67,39,"Not Top 6","Top 6"
"Chelsea","Everton","Home","Pre",14,1,3,72,24,63,39,8,54,8,54,46,"Top 6","Not Top 6"
"Man United","Man City","Home","Pre",30,1,6,66,11,65,54,1,98,72,95,23,"Top 6","Top 6"
"Man City","Arsenal","Home","Post",45,1,1,98,72,95,23,5,70,22,73,51,"Top 6","Top 6"
"Tottenham","Man United","Home","Post",27,1,4,71,28,67,39,6,66,11,65,54,"Top 6","Top 6"
"Watford","Leicester","Home","Post",90,1,11,50,-7,52,59,9,52,3,51,48,"Not Top 6","Not Top 6"
"Brighton","Arsenal","Home","Post",75,1,17,36,-25,35,60,5,70,22,73,51,"Not Top 6","Top 6"
"West Ham","Wolves","Home","Post",90,0,10,52,-3,52,55,7,57,1,47,46,"Not Top 6","Not Top 6"
"Bournemouth","Crystal Palace","Home","Post",90,0,14,45,-14,56,70,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Everton","Liverpool","Home","Post",90,0,8,54,8,54,46,2,97,67,89,22,"Not Top 6","Top 6"
"Man City","Burnley","Home","Post",22,1,1,98,72,95,23,15,40,-23,45,68,"Top 6","Not Top 6"
"Leicester","Brighton","Home","Post",90,0,9,52,3,51,48,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Tottenham","West Ham","Home","Post",64,1,4,71,28,67,39,10,52,-3,52,55,"Top 6","Not Top 6"
"Wolves","Bournemouth","Home","Post",60,1,7,57,1,47,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Liverpool","Crystal Palace","Home","Post",23,1,2,97,67,89,22,12,49,-2,51,53,"Top 6","Not Top 6"
"Burnley","Watford","Home","Post",73,1,15,40,-23,45,68,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Southampton","Arsenal","Home","Post",90,0,16,39,-20,45,65,5,70,22,73,51,"Not Top 6","Top 6"
"Chelsea","Man City","Home","Post",36,1,3,72,24,63,39,1,98,72,95,23,"Top 6","Top 6"
"Watford","Southampton","Home","Post",79,1,11,50,-7,52,59,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Crystal Palace","Burnley","Home","Post",90,0,12,49,-2,51,53,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Brighton","Man United","Home","Post",90,0,17,36,-25,35,60,6,66,11,65,54,"Not Top 6","Top 6"
"Bournemouth","Newcastle","Home","Post",90,1,14,45,-14,56,70,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Everton","Leicester","Home","Post",10,1,8,54,8,54,46,9,52,3,51,48,"Not Top 6","Not Top 6"
"West Ham","Chelsea","Home","Post",45,1,10,52,-3,52,55,3,72,24,63,39,"Not Top 6","Top 6"
"Man City","Liverpool","Home","Post",25,1,1,98,72,95,23,2,97,67,89,22,"Top 6","Top 6"
"Leicester","Crystal Palace","Home","Post",49,1,9,52,3,51,48,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man United","Bournemouth","Home","Post",29,1,6,66,11,65,54,14,45,-14,56,70,"Top 6","Not Top 6"
"Wolves","Arsenal","Home","Post",90,0,7,57,1,47,46,5,70,22,73,51,"Not Top 6","Top 6"
"Chelsea","Watford","Home","Post",28,1,3,72,24,63,39,11,50,-7,52,59,"Top 6","Not Top 6"
"Newcastle","West Ham","Home","Post",17,1,13,45,-6,42,48,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Southampton","Man City","Home","Post",16,1,16,39,-20,45,65,1,98,72,95,23,"Not Top 6","Top 6"
"Tottenham","Everton","Home","Post",24,1,4,71,28,67,39,8,54,8,54,46,"Top 6","Not Top 6"
"Crystal Palace","Chelsea","Home","Post",34,1,12,49,-2,51,53,3,72,24,63,39,"Not Top 6","Top 6"
"Arsenal","Leicester","Home","Post",21,1,5,70,22,73,51,9,52,3,51,48,"Top 6","Not Top 6"
"Man City","Newcastle","Home","Post",10,1,1,98,72,95,23,13,45,-6,42,48,"Top 6","Not Top 6"
"West Ham","Burnley","Home","Post",90,0,10,52,-3,52,55,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Brighton","Liverpool","Home","Post",45,1,17,36,-25,35,60,2,97,67,89,22,"Not Top 6","Top 6"
"Bournemouth","Tottenham","Home","Post",90,0,14,45,-14,56,70,4,71,28,67,39,"Not Top 6","Top 6"
"Everton","Southampton","Home","Post",44,1,8,54,8,54,46,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Watford","Newcastle","Home","Post",52,1,11,50,-7,52,59,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Liverpool","Burnley","Home","Post",34,1,2,97,67,89,22,15,40,-23,45,68,"Top 6","Not Top 6"
"Brighton","Man City","Home","Post",90,0,17,36,-25,35,60,1,98,72,95,23,"Not Top 6","Top 6"
"Wolves","Everton","Home","Post",46,1,7,57,1,47,46,8,54,8,54,46,"Not Top 6","Not Top 6"
"Tottenham","Arsenal","Home","Post",19,1,4,71,28,67,39,5,70,22,73,51,"Top 6","Top 6"
"Bournemouth","Leicester","Home","Post",66,1,14,45,-14,56,70,9,52,3,51,48,"Not Top 6","Not Top 6"
"Man United","Southampton","Home","Post",20,1,6,66,11,65,54,16,39,-20,45,65,"Top 6","Not Top 6"
"Burnley","Wolves","Home","Post",90,1,15,40,-23,45,68,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Bournemouth","Home","Post",6,1,1,98,72,95,23,14,45,-14,56,70,"Top 6","Not Top 6"
"Newcastle","Tottenham","Home","Post",56,1,13,45,-6,42,48,4,71,28,67,39,"Not Top 6","Top 6"
"Arsenal","Liverpool","Home","Post",32,1,5,70,22,73,51,2,97,67,89,22,"Top 6","Top 6"
"Crystal Palace","Man United","Home","Post",90,0,12,49,-2,51,53,6,66,11,65,54,"Not Top 6","Top 6"
"Southampton","Brighton","Home","Post",66,1,16,39,-20,45,65,17,36,-25,35,60,"Not Top 6","Not Top 6"
"West Ham","Watford","Home","Post",6,1,10,52,-3,52,55,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Bournemouth","Southampton","Home","Post",90,0,14,45,-14,56,70,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Tottenham","Leicester","Home","Post",6,1,4,71,28,67,39,9,52,3,51,48,"Top 6","Not Top 6"
"Brighton","Newcastle","Home","Post",90,0,17,36,-25,35,60,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Wolves","Crystal Palace","Home","Post",41,1,7,57,1,47,46,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Watford","Man City","Home","Post",90,0,11,50,-7,52,59,1,98,72,95,23,"Not Top 6","Top 6"
"Man United","West Ham","Home","Post",51,1,6,66,11,65,54,10,52,-3,52,55,"Top 6","Not Top 6"
"Liverpool","Chelsea","Home","Post",23,1,2,97,67,89,22,3,72,24,63,39,"Top 6","Top 6"
"Arsenal","Watford","Home","Post",5,1,5,70,22,73,51,11,50,-7,52,59,"Top 6","Not Top 6"
"Burnley","Brighton","Home","Post",44,1,15,40,-23,45,68,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Chelsea","Wolves","Home","Post",45,1,3,72,24,63,39,7,57,1,47,46,"Top 6","Not Top 6"
"Crystal Palace","Tottenham","Home","Post",53,1,12,49,-2,51,53,4,71,28,67,39,"Not Top 6","Top 6"
"Everton","Bournemouth","Home","Post",41,1,8,54,8,54,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Man United","Home","Post",90,0,9,52,3,51,48,6,66,11,65,54,"Not Top 6","Top 6"
"Newcastle","Liverpool","Home","Post",1,1,13,45,-6,42,48,2,97,67,89,22,"Not Top 6","Top 6"
"Man City","West Ham","Away","Pre",25,1,1,98,72,95,23,10,52,-3,52,55,"Top 6","Not Top 6"
"Southampton","Burnley","Away","Pre",90,0,16,39,-20,45,65,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Everton","Crystal Palace","Away","Pre",90,0,8,54,8,54,46,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Brighton","Watford","Away","Pre",28,1,17,36,-25,35,60,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Wolves","Leicester","Away","Pre",90,0,7,57,1,47,46,9,52,3,51,48,"Not Top 6","Not Top 6"
"Arsenal","Newcastle","Away","Pre",58,1,5,70,22,73,51,13,45,-6,42,48,"Top 6","Not Top 6"
"Chelsea","Man United","Away","Pre",90,0,3,72,24,63,39,6,66,11,65,54,"Top 6","Top 6"
"Burnley","Arsenal","Away","Pre",43,1,15,40,-23,45,68,5,70,22,73,51,"Not Top 6","Top 6"
"West Ham","Brighton","Away","Pre",61,1,10,52,-3,52,55,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Watford","Everton","Away","Pre",90,0,11,50,-7,52,59,8,54,8,54,46,"Not Top 6","Not Top 6"
"Liverpool","Southampton","Away","Pre",45,1,2,97,67,89,22,16,39,-20,45,65,"Top 6","Not Top 6"
"Tottenham","Man City","Away","Pre",23,1,4,71,28,67,39,1,98,72,95,23,"Top 6","Top 6"
"Leicester","Chelsea","Away","Pre",67,1,9,52,3,51,48,3,72,24,63,39,"Not Top 6","Top 6"
"Man United","Wolves","Away","Pre",27,1,6,66,11,65,54,7,57,1,47,46,"Top 6","Not Top 6"
"Southampton","Brighton","Away","Pre",55,1,16,39,-20,45,65,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Crystal Palace","Man United","Away","Pre",32,1,12,49,-2,51,53,6,66,11,65,54,"Not Top 6","Top 6"
"West Ham","Watford","Away","Pre",3,1,10,52,-3,52,55,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Arsenal","Liverpool","Away","Pre",85,1,5,70,22,73,51,2,97,67,89,22,"Top 6","Top 6"
"Man City","Bournemouth","Away","Pre",15,1,1,98,72,95,23,14,45,-14,56,70,"Top 6","Not Top 6"
"Newcastle","Tottenham","Away","Pre",27,1,13,45,-6,42,48,4,71,28,67,39,"Not Top 6","Top 6"
"Burnley","Wolves","Away","Pre",13,1,15,40,-23,45,68,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man United","Southampton","Away","Pre",10,1,6,66,11,65,54,16,39,-20,45,65,"Top 6","Not Top 6"
"Bournemouth","Leicester","Away","Pre",15,1,14,45,-14,56,70,9,52,3,51,48,"Not Top 6","Not Top 6"
"Brighton","Man City","Away","Pre",90,0,17,36,-25,35,60,1,98,72,95,23,"Not Top 6","Top 6"
"Watford","Newcastle","Away","Pre",2,1,11,50,-7,52,59,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Liverpool","Burnley","Away","Pre",33,1,2,97,67,89,22,15,40,-23,45,68,"Top 6","Not Top 6"
"Wolves","Everton","Away","Pre",9,1,7,57,1,47,46,8,54,8,54,46,"Not Top 6","Not Top 6"
"Tottenham","Arsenal","Away","Pre",10,1,4,71,28,67,39,5,70,22,73,51,"Top 6","Top 6"
"Newcastle","Liverpool","Away","Pre",7,1,13,45,-6,42,48,2,97,67,89,22,"Not Top 6","Top 6"
"Burnley","Brighton","Away","Pre",90,1,15,40,-23,45,68,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Leicester","Man United","Away","Pre",90,0,9,52,3,51,48,6,66,11,65,54,"Not Top 6","Top 6"
"Crystal Palace","Tottenham","Away","Pre",90,0,12,49,-2,51,53,4,71,28,67,39,"Not Top 6","Top 6"
"Chelsea","Wolves","Away","Pre",31,1,3,72,24,63,39,7,57,1,47,46,"Top 6","Not Top 6"
"Everton","Bournemouth","Away","Pre",44,1,8,54,8,54,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Arsenal","Watford","Away","Pre",21,1,5,70,22,73,51,11,50,-7,52,59,"Top 6","Not Top 6"
"Bournemouth","Southampton","Away","Pre",10,1,14,45,-14,56,70,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Tottenham","Leicester","Away","Pre",29,1,4,71,28,67,39,9,52,3,51,48,"Top 6","Not Top 6"
"Watford","Man City","Away","Pre",90,0,11,50,-7,52,59,1,98,72,95,23,"Not Top 6","Top 6"
"Brighton","Newcastle","Away","Pre",90,0,17,36,-25,35,60,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Wolves","Crystal Palace","Away","Pre",90,1,7,57,1,47,46,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man United","West Ham","Away","Pre",90,0,6,66,11,65,54,10,52,-3,52,55,"Top 6","Not Top 6"
"Liverpool","Chelsea","Away","Pre",14,1,2,97,67,89,22,3,72,24,63,39,"Top 6","Top 6"
"West Ham","Bournemouth","Away","Pre",10,1,10,52,-3,52,55,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Brighton","Chelsea","Away","Pre",90,0,17,36,-25,35,60,3,72,24,63,39,"Not Top 6","Top 6"
"Southampton","Tottenham","Away","Pre",39,1,16,39,-20,45,65,4,71,28,67,39,"Not Top 6","Top 6"
"Watford","Wolves","Away","Pre",90,0,11,50,-7,52,59,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Everton","Away","Pre",24,1,1,98,72,95,23,8,54,8,54,46,"Top 6","Not Top 6"
"Newcastle","Leicester","Away","Pre",90,0,13,45,-6,42,48,9,52,3,51,48,"Not Top 6","Not Top 6"
"Arsenal","Man United","Away","Pre",58,1,5,70,22,73,51,6,66,11,65,54,"Top 6","Top 6"
"Tottenham","Brighton","Away","Pre",90,0,4,71,28,67,39,17,36,-25,35,60,"Top 6","Not Top 6"
"Everton","Burnley","Away","Pre",90,0,8,54,8,54,46,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Leicester","Liverpool","Away","Pre",80,1,9,52,3,51,48,2,97,67,89,22,"Not Top 6","Top 6"
"Crystal Palace","West Ham","Away","Pre",63,1,12,49,-2,51,53,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Bournemouth","Arsenal","Away","Pre",90,0,14,45,-14,56,70,5,70,22,73,51,"Not Top 6","Top 6"
"Wolves","Man City","Away","Pre",80,1,7,57,1,47,46,1,98,72,95,23,"Not Top 6","Top 6"
"Chelsea","Southampton","Away","Pre",17,1,3,72,24,63,39,16,39,-20,45,65,"Top 6","Not Top 6"
"Man United","Newcastle","Away","Pre",90,0,6,66,11,65,54,13,45,-6,42,48,"Top 6","Not Top 6"
"West Ham","Everton","Away","Pre",90,0,10,52,-3,52,55,8,54,8,54,46,"Not Top 6","Not Top 6"
"Newcastle","Chelsea","Away","Pre",90,0,13,45,-6,42,48,3,72,24,63,39,"Not Top 6","Top 6"
"Burnley","Leicester","Away","Pre",26,1,15,40,-23,45,68,9,52,3,51,48,"Not Top 6","Not Top 6"
"Watford","Tottenham","Away","Pre",6,1,11,50,-7,52,59,4,71,28,67,39,"Not Top 6","Top 6"
"Southampton","Wolves","Away","Pre",53,1,16,39,-20,45,65,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Crystal Palace","Away","Pre",39,1,1,98,72,95,23,12,49,-2,51,53,"Top 6","Not Top 6"
"Liverpool","Man United","Away","Pre",85,1,2,97,67,89,22,6,66,11,65,54,"Top 6","Top 6"
"Leicester","Southampton","Away","Pre",10,1,9,52,3,51,48,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Everton","Brighton","Away","Pre",20,1,8,54,8,54,46,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Bournemouth","Watford","Away","Pre",90,0,14,45,-14,56,70,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Chelsea","Burnley","Away","Pre",21,1,3,72,24,63,39,15,40,-23,45,68,"Top 6","Not Top 6"
"Wolves","Newcastle","Away","Pre",73,1,7,57,1,47,46,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Crystal Palace","Arsenal","Away","Pre",32,1,12,49,-2,51,53,5,70,22,73,51,"Not Top 6","Top 6"
"Tottenham","Liverpool","Away","Pre",1,1,4,71,28,67,39,2,97,67,89,22,"Top 6","Top 6"
"Man United","Bournemouth","Away","Pre",90,0,6,66,11,65,54,14,45,-14,56,70,"Top 6","Not Top 6"
"Wolves","Arsenal","Away","Pre",76,1,7,57,1,47,46,5,70,22,73,51,"Not Top 6","Top 6"
"Southampton","Man City","Away","Pre",13,1,16,39,-20,45,65,1,98,72,95,23,"Not Top 6","Top 6"
"Newcastle","West Ham","Away","Pre",16,1,13,45,-6,42,48,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Chelsea","Watford","Away","Pre",5,1,3,72,24,63,39,11,50,-7,52,59,"Top 6","Not Top 6"
"Leicester","Crystal Palace","Away","Pre",57,1,9,52,3,51,48,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Tottenham","Everton","Away","Pre",63,1,4,71,28,67,39,8,54,8,54,46,"Top 6","Not Top 6"
"Crystal Palace","Chelsea","Away","Pre",90,0,12,49,-2,51,53,3,72,24,63,39,"Not Top 6","Top 6"
"West Ham","Burnley","Away","Pre",90,0,10,52,-3,52,55,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Bournemouth","Newcastle","Away","Pre",14,1,14,45,-14,56,70,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Everton","Southampton","Away","Pre",4,1,8,54,8,54,46,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Arsenal","Leicester","Away","Pre",90,0,5,70,22,73,51,9,52,3,51,48,"Top 6","Not Top 6"
"Brighton","Man United","Away","Pre",64,1,17,36,-25,35,60,6,66,11,65,54,"Not Top 6","Top 6"
"Man City","Liverpool","Away","Pre",78,1,1,98,72,95,23,2,97,67,89,22,"Top 6","Top 6"
"Tottenham","West Ham","Away","Pre",36,1,4,71,28,67,39,10,52,-3,52,55,"Top 6","Not Top 6"
"Southampton","Arsenal","Away","Pre",8,1,16,39,-20,45,65,5,70,22,73,51,"Not Top 6","Top 6"
"Wolves","Bournemouth","Away","Pre",21,1,7,57,1,47,46,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Brighton","Away","Pre",64,1,9,52,3,51,48,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Liverpool","Crystal Palace","Away","Pre",49,1,2,97,67,89,22,12,49,-2,51,53,"Top 6","Not Top 6"
